N,Date,Team1,HA1,Score1,Team2,HA2,Score2
737177,20180428,5,-1,10,3,1,2
737178,20180429,3,1,7,5,-1,5
737178,20180429,9,-1,6,11,1,3
737178,20180429,4,-1,5,6,1,3
737178,20180429,2,1,9,1,-1,2
737178,20180429,12,1,1,13,-1,0
737178,20180429,10,1,6,7,-1,5
737183,20180504,10,-1,6,1,1,5
737183,20180504,4,-1,15,8,1,7
737183,20180504,12,1,8,9,-1,7
737183,20180504,13,1,15,5,-1,9
737183,20180504,11,1,13,6,-1,1
737183,20180504,7,1,4,2,-1,1
737184,20180505,1,1,11,10,-1,3
737184,20180505,8,1,17,4,-1,8
737184,20180505,5,-1,9,13,1,4
737184,20180505,11,1,6,6,-1,1
737184,20180505,7,1,9,2,-1,1
737184,20180505,12,1,9,9,-1,5
737184,20180505,6,-1,6,11,1,4
737185,20180506,8,1,5,4,-1,2
737185,20180506,7,1,7,2,-1,6
737185,20180506,5,-1,6,13,1,1
737185,20180506,12,1,9,9,-1,2
737185,20180506,10,-1,10,1,1,5
737188,20180509,5,-1,10,6,1,2
737190,20180511,10,1,4,12,-1,2
737190,20180511,4,1,5,13,-1,2
737190,20180511,1,-1,10,5,1,3
737190,20180511,9,1,7,3,-1,6
737190,20180511,8,1,5,2,-1,2
737190,20180511,6,-1,6,7,1,5
737191,20180512,9,1,4,3,-1,0
737191,20180512,7,1,10,6,-1,5
737191,20180512,4,1,17,13,-1,2
737191,20180512,2,-1,6,8,1,3
737191,20180512,1,-1,10,5,1,4
737191,20180512,12,-1,8,10,1,2
737192,20180513,2,-1,8,8,1,6
737192,20180513,4,1,8,13,-1,6
737192,20180513,3,-1,10,9,1,7
737192,20180513,7,1,3,6,-1,1
737192,20180513,5,1,5,1,-1,4
737192,20180513,10,1,16,12,-1,6
737196,20180517,7,-1,4,13,1,0
737196,20180517,10,-1,10,6,1,8
737196,20180517,2,1,6,4,-1,5
737196,20180517,1,1,5,8,-1,2
737196,20180517,12,1,3,5,-1,0
737196,20180517,3,1,3,11,-1,1
737197,20180518,12,1,6,5,-1,3
737197,20180518,1,1,13,8,-1,6
737197,20180518,7,-1,5,13,1,3
737197,20180518,2,1,5,4,-1,1
737197,20180518,6,1,6,10,-1,2
737197,20180518,3,1,9,11,-1,1
737198,20180519,12,1,2,5,-1,1
737198,20180519,3,1,8,11,-1,4
737198,20180519,8,-1,11,1,1,8
737198,20180519,2,1,13,4,-1,3
737198,20180519,6,1,8,10,-1,3
737202,20180523,1,0,7,2,0,1
737202,20180523,5,0,2,3,0,1
737202,20180523,7,0,3,6,0,2
737202,20180523,12,0,8,10,0,2
737203,20180524,7,0,3,1,0,0
737203,20180524,2,0,6,6,0,5
737203,20180524,10,0,2,3,0,0
737203,20180524,12,0,5,5,0,4
737204,20180525,1,0,5,2,0,4
737204,20180525,10,0,5,5,0,3
737205,20180526,12,0,11,1,0,5
737205,20180526,7,0,8,10,0,1
737206,20180527,7,0,6,12,0,4
